,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,265.0,265.0,43.0,102.0,0.422,19.0,45.0,0.422,17.0,20.0,0.85,16.0,37.0,53.0,30.0,4.0,9.0,19.0,34.0,122.0,,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,,,8.0,19.0,1.0,4.0,7.0,0.8,4.0,4.0,1.0,4.0,6.0,10.0,6.0,2.0,2.0,5.0,5.0,22.0,11.0,1.0,1.0,0.714,1.0,15.5,28.9,17.1,27.6,7.9,9.3,25.0,37.7,146.0,124.0,NOP,5,0,1,265.0,265.0,42.0,103.0,0.408,14.0,40.0,0.35,32.0,38.0,0.842,16.0,41.0,57.0,23.0,7.0,3.0,16.0,24.0,130.0,,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,11.8,100.0,115.2,108.1,,,12.0,26.0,0.667,5.0,11.0,0.714,11.0,13.0,1.0,6.0,12.0,18.0,7.0,2.0,2.0,4.0,6.0,34.0,18.0,0.824,0.806,0.733,0.867,15.7,29.2,22.7,30.2,6.2,5.2,22.2,35.7,158.0,114.0,TOR,13,1,2020,2019-10-22,True
1,265.0,265.0,42.0,103.0,0.408,14.0,40.0,0.35,32.0,38.0,0.842,16.0,41.0,57.0,23.0,7.0,3.0,16.0,24.0,130.0,,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,11.8,100.0,115.2,108.1,,,12.0,26.0,0.667,5.0,11.0,0.714,11.0,13.0,1.0,6.0,12.0,18.0,7.0,2.0,2.0,4.0,6.0,34.0,18.0,0.824,0.806,0.733,0.867,15.7,29.2,22.7,30.2,6.2,5.2,22.2,35.7,158.0,114.0,TOR,13,1,0,265.0,265.0,43.0,102.0,0.422,19.0,45.0,0.422,17.0,20.0,0.85,16.0,37.0,53.0,30.0,4.0,9.0,19.0,34.0,122.0,,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,,,8.0,19.0,1.0,4.0,7.0,0.8,4.0,4.0,1.0,4.0,6.0,10.0,6.0,2.0,2.0,5.0,5.0,22.0,11.0,1.0,1.0,0.714,1.0,15.5,28.9,17.1,27.6,7.9,9.3,25.0,37.7,146.0,124.0,NOP,5,0,2020,2019-10-22,False
2,240.0,240.0,37.0,85.0,0.435,13.0,33.0,0.394,15.0,21.0,0.714,9.0,32.0,41.0,20.0,4.0,7.0,14.0,24.0,102.0,,0.541,0.512,0.388,0.247,20.9,74.4,47.7,54.1,4.2,14.0,12.9,100.0,107.0,117.5,,,10.0,21.0,1.0,7.0,9.0,1.0,9.0,14.0,1.0,3.0,9.0,10.0,8.0,2.0,2.0,5.0,5.0,28.0,7.0,1.5,1.5,1.0,0.667,17.6,27.9,17.6,38.6,3.1,11.1,25.0,35.8,300.0,125.0,LAL,102,0,1,240.0,240.0,42.0,81.0,0.519,11.0,31.0,0.355,17.0,24.0,0.708,11.0,34.0,45.0,24.0,8.0,5.0,14.0,25.0,112.0,,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,,,10.0,19.0,1.0,4.0,7.0,0.667,9.0,10.0,1.0,2.0,8.0,10.0,7.0,4.0,2.0,6.0,5.0,30.0,15.0,1.0,1.0,1.0,0.727,11.6,29.0,17.8,29.0,6.9,6.3,22.2,42.4,203.0,116.0,LAC,112,1,2020,2019-10-22,False
3,240.0,240.0,42.0,81.0,0.519,11.0,31.0,0.355,17.0,24.0,0.708,11.0,34.0,45.0,24.0,8.0,5.0,14.0,25.0,112.0,,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,,,10.0,19.0,1.0,4.0,7.0,0.667,9.0,10.0,1.0,2.0,8.0,10.0,7.0,4.0,2.0,6.0,5.0,30.0,15.0,1.0,1.0,1.0,0.727,11.6,29.0,17.8,29.0,6.9,6.3,22.2,42.4,203.0,116.0,LAC,112,1,0,240.0,240.0,37.0,85.0,0.435,13.0,33.0,0.394,15.0,21.0,0.714,9.0,32.0,41.0,20.0,4.0,7.0,14.0,24.0,102.0,,0.541,0.512,0.388,0.247,20.9,74.4,47.7,54.1,4.2,14.0,12.9,100.0,107.0,117.5,,,10.0,21.0,1.0,7.0,9.0,1.0,9.0,14.0,1.0,3.0,9.0,10.0,8.0,2.0,2.0,5.0,5.0,28.0,7.0,1.5,1.5,1.0,0.667,17.6,27.9,17.6,38.6,3.1,11.1,25.0,35.8,300.0,125.0,LAL,102,0,2020,2019-10-22,True
4,240.0,240.0,49.0,105.0,0.467,9.0,30.0,0.3,18.0,22.0,0.818,20.0,29.0,49.0,25.0,11.0,4.0,10.0,20.0,125.0,,0.545,0.51,0.286,0.21,38.5,76.3,54.4,51.0,10.8,9.1,8.0,100.0,123.0,124.0,,,13.0,25.0,0.714,3.0,7.0,1.0,8.0,10.0,1.0,5.0,12.0,17.0,7.0,4.0,1.0,5.0,4.0,35.0,14.0,1.0,1.0,0.667,0.4,27.1,44.1,31.3,32.2,7.9,4.5,25.0,34.1,211.0,131.0,CHI,125,0,1,240.0,240.0,45.0,88.0,0.511,23.0,44.0,0.523,13.0,16.0,0.813,9.0,32.0,41.0,28.0,3.0,4.0,19.0,18.0,126.0,,0.663,0.642,0.5,0.182,23.7,61.5,45.6,62.2,3.0,5.3,16.7,100.0,124.0,123.0,,,9.0,21.0,0.778,7.0,11.0,1.0,4.0,6.0,1.0,4.0,8.0,12.0,8.0,2.0,3.0,4.0,4.0,27.0,14.0,1.114,1.111,0.778,0.364,14.4,24.7,19.0,43.0,2.9,6.1,100.0,32.6,208.0,128.0,CHO,126,1,2020,2019-10-23,False
5,240.0,240.0,45.0,88.0,0.511,23.0,44.0,0.523,13.0,16.0,0.813,9.0,32.0,41.0,28.0,3.0,4.0,19.0,18.0,126.0,,0.663,0.642,0.5,0.182,23.7,61.5,45.6,62.2,3.0,5.3,16.7,100.0,124.0,123.0,,,9.0,21.0,0.778,7.0,11.0,1.0,4.0,6.0,1.0,4.0,8.0,12.0,8.0,2.0,3.0,4.0,4.0,27.0,14.0,1.114,1.111,0.778,0.364,14.4,24.7,19.0,43.0,2.9,6.1,100.0,32.6,208.0,128.0,CHO,126,1,0,240.0,240.0,49.0,105.0,0.467,9.0,30.0,0.3,18.0,22.0,0.818,20.0,29.0,49.0,25.0,11.0,4.0,10.0,20.0,125.0,,0.545,0.51,0.286,0.21,38.5,76.3,54.4,51.0,10.8,9.1,8.0,100.0,123.0,124.0,,,13.0,25.0,0.714,3.0,7.0,1.0,8.0,10.0,1.0,5.0,12.0,17.0,7.0,4.0,1.0,5.0,4.0,35.0,14.0,1.0,1.0,0.667,0.4,27.1,44.1,31.3,32.2,7.9,4.5,25.0,34.1,211.0,131.0,CHI,125,0,2020,2019-10-23,True
6,240.0,240.0,41.0,78.0,0.526,11.0,24.0,0.458,26.0,33.0,0.788,10.0,35.0,45.0,26.0,5.0,6.0,18.0,21.0,119.0,,0.643,0.596,0.308,0.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,100.0,118.8,109.8,,,12.0,18.0,0.667,6.0,9.0,1.0,8.0,10.0,1.0,7.0,16.0,23.0,9.0,3.0,4.0,4.0,4.0,32.0,12.0,0.862,0.846,0.75,0.769,22.9,41.8,33.4,53.9,3.5,6.9,100.0,40.7,163.0,117.0,DET,119,0,1,240.0,240.0,41.0,89.0,0.461,8.0,21.0,0.381,20.0,24.0,0.833,10.0,26.0,36.0,26.0,8.0,6.0,15.0,28.0,110.0,,0.552,0.506,0.236,0.27,22.2,72.2,44.4,63.4,8.0,11.1,13.1,100.0,109.8,118.8,,,11.0,15.0,0.733,4.0,7.0,0.667,10.0,11.0,1.0,5.0,8.0,13.0,11.0,3.0,3.0,4.0,5.0,27.0,4.0,0.785,0.75,0.75,0.846,14.9,39.6,21.6,42.9,7.1,7.0,20.0,43.6,147.0,128.0,IND,110,1,2020,2019-10-23,True
7,240.0,240.0,41.0,89.0,0.461,8.0,21.0,0.381,20.0,24.0,0.833,10.0,26.0,36.0,26.0,8.0,6.0,15.0,28.0,110.0,,0.552,0.506,0.236,0.27,22.2,72.2,44.4,63.4,8.0,11.1,13.1,100.0,109.8,118.8,,,11.0,15.0,0.733,4.0,7.0,0.667,10.0,11.0,1.0,5.0,8.0,13.0,11.0,3.0,3.0,4.0,5.0,27.0,4.0,0.785,0.75,0.75,0.846,14.9,39.6,21.6,42.9,7.1,7.0,20.0,43.6,147.0,128.0,IND,110,1,0,240.0,240.0,41.0,78.0,0.526,11.0,24.0,0.458,26.0,33.0,0.788,10.0,35.0,45.0,26.0,5.0,6.0,18.0,21.0,119.0,,0.643,0.596,0.308,0.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,100.0,118.8,109.8,,,12.0,18.0,0.667,6.0,9.0,1.0,8.0,10.0,1.0,7.0,16.0,23.0,9.0,3.0,4.0,4.0,4.0,32.0,12.0,0.862,0.846,0.75,0.769,22.9,41.8,33.4,53.9,3.5,6.9,100.0,40.7,163.0,117.0,DET,119,0,2020,2019-10-23,False
8,240.0,240.0,33.0,88.0,0.375,9.0,34.0,0.265,10.0,15.0,0.667,10.0,44.0,54.0,20.0,8.0,2.0,16.0,15.0,85.0,,0.449,0.426,0.386,0.17,20.4,86.3,54.0,60.6,8.1,3.6,14.5,100.0,86.1,95.2,,,8.0,15.0,0.727,3.0,8.0,0.5,3.0,4.0,1.0,4.0,17.0,18.0,5.0,2.0,1.0,4.0,5.0,16.0,6.0,0.727,0.727,0.667,0.444,14.6,44.5,25.1,28.7,5.3,3.2,25.2,33.9,132.0,102.0,CLE,85,0,1,240.0,240.0,37.0,86.0,0.43,9.0,30.0,0.3,11.0,19.0,0.579,7.0,39.0,46.0,24.0,12.0,4.0,13.0,18.0,94.0,,0.498,0.483,0.349,0.221,13.7,79.6,46.0,64.9,12.2,7.4,12.1,100.0,95.2,86.1,,,8.0,16.0,0.6,2.0,7.0,0.5,4.0,6.0,0.8,2.0,9.0,10.0,6.0,2.0,2.0,3.0,4.0,21.0,17.0,0.7,0.7,0.6,0.8,6.8,42.6,24.4,49.7,5.0,7.4,34.0,32.2,140.0,95.0,ORL,94,1,2020,2019-10-23,False
9,240.0,240.0,37.0,86.0,0.43,9.0,30.0,0.3,11.0,19.0,0.579,7.0,39.0,46.0,24.0,12.0,4.0,13.0,18.0,94.0,,0.498,0.483,0.349,0.221,13.7,79.6,46.0,64.9,12.2,7.4,12.1,100.0,95.2,86.1,,,8.0,16.0,0.6,2.0,7.0,0.5,4.0,6.0,0.8,2.0,9.0,10.0,6.0,2.0,2.0,3.0,4.0,21.0,17.0,0.7,0.7,0.6,0.8,6.8,42.6,24.4,49.7,5.0,7.4,34.0,32.2,140.0,95.0,ORL,94,1,0,240.0,240.0,33.0,88.0,0.375,9.0,34.0,0.265,10.0,15.0,0.667,10.0,44.0,54.0,20.0,8.0,2.0,16.0,15.0,85.0,,0.449,0.426,0.386,0.17,20.4,86.3,54.0,60.6,8.1,3.6,14.5,100.0,86.1,95.2,,,8.0,15.0,0.727,3.0,8.0,0.5,3.0,4.0,1.0,4.0,17.0,18.0,5.0,2.0,1.0,4.0,5.0,16.0,6.0,0.727,0.727,0.667,0.444,14.6,44.5,25.1,28.7,5.3,3.2,25.2,33.9,132.0,102.0,CLE,85,0,2020,2019-10-23,True
