,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,37.0,99.0,0.374,10.0,33.0,0.303,15.0,23.0,0.652,13.0,34.0,47.0,26.0,6.0,6.0,18.0,24.0,99.0,,0.454,0.424,0.333,0.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100.0,89.6,113.1,,,7.0,21.0,1.0,2.0,10.0,1.0,4.0,8.0,1.0,4.0,6.0,8.0,10.0,2.0,2.0,4.0,4.0,20.0,9.0,1.333,1.333,0.667,2.0,20.3,50.1,29.7,61.1,3.7,12.7,50.0,32.1,267.0,120.0,GSW,99,0,1,240.0,240.0,42.0,92.0,0.457,15.0,35.0,0.429,26.0,32.0,0.813,13.0,44.0,57.0,24.0,11.0,7.0,20.0,22.0,125.0,,0.589,0.538,0.38,0.348,27.7,77.2,54.8,57.1,10.0,10.6,15.9,100.0,113.1,89.6,,,10.0,17.0,1.0,4.0,7.0,1.0,7.0,7.0,1.0,3.0,9.0,11.0,5.0,3.0,2.0,3.0,3.0,26.0,32.0,1.5,1.5,1.0,2.0,17.1,44.5,29.8,33.0,7.3,7.4,43.6,40.4,300.0,98.0,BRK,125,1,2021,2020-12-22,True
1,240.0,240.0,42.0,92.0,0.457,15.0,35.0,0.429,26.0,32.0,0.813,13.0,44.0,57.0,24.0,11.0,7.0,20.0,22.0,125.0,,0.589,0.538,0.38,0.348,27.7,77.2,54.8,57.1,10.0,10.6,15.9,100.0,113.1,89.6,,,10.0,17.0,1.0,4.0,7.0,1.0,7.0,7.0,1.0,3.0,9.0,11.0,5.0,3.0,2.0,3.0,3.0,26.0,32.0,1.5,1.5,1.0,2.0,17.1,44.5,29.8,33.0,7.3,7.4,43.6,40.4,300.0,98.0,BRK,125,1,0,240.0,240.0,37.0,99.0,0.374,10.0,33.0,0.303,15.0,23.0,0.652,13.0,34.0,47.0,26.0,6.0,6.0,18.0,24.0,99.0,,0.454,0.424,0.333,0.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100.0,89.6,113.1,,,7.0,21.0,1.0,2.0,10.0,1.0,4.0,8.0,1.0,4.0,6.0,8.0,10.0,2.0,2.0,4.0,4.0,20.0,9.0,1.333,1.333,0.667,2.0,20.3,50.1,29.7,61.1,3.7,12.7,50.0,32.1,267.0,120.0,GSW,99,0,2021,2020-12-22,False
2,240.0,240.0,44.0,93.0,0.473,14.0,40.0,0.35,14.0,19.0,0.737,11.0,29.0,40.0,22.0,10.0,3.0,16.0,29.0,116.0,,0.572,0.548,0.43,0.204,22.9,78.4,47.1,50.0,9.7,5.8,13.6,100.0,112.1,105.3,,,13.0,26.0,0.8,5.0,8.0,0.667,5.0,5.0,1.0,4.0,6.0,6.0,6.0,2.0,1.0,5.0,5.0,33.0,17.0,0.874,0.861,0.8,0.8,18.1,38.7,16.9,24.2,4.7,4.5,20.9,40.2,154.0,114.0,LAC,116,0,1,240.0,240.0,38.0,81.0,0.469,9.0,29.0,0.31,24.0,31.0,0.774,8.0,37.0,45.0,22.0,4.0,2.0,19.0,20.0,109.0,,0.576,0.525,0.358,0.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100.0,105.3,112.1,,,8.0,17.0,1.0,3.0,8.0,0.5,5.0,7.0,1.0,4.0,11.0,12.0,8.0,2.0,1.0,4.0,5.0,22.0,14.0,1.042,1.0,1.0,1.0,16.1,39.6,24.4,47.0,4.3,3.9,100.0,35.9,166.0,118.0,LAL,109,1,2021,2020-12-22,True
3,240.0,240.0,38.0,81.0,0.469,9.0,29.0,0.31,24.0,31.0,0.774,8.0,37.0,45.0,22.0,4.0,2.0,19.0,20.0,109.0,,0.576,0.525,0.358,0.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100.0,105.3,112.1,,,8.0,17.0,1.0,3.0,8.0,0.5,5.0,7.0,1.0,4.0,11.0,12.0,8.0,2.0,1.0,4.0,5.0,22.0,14.0,1.042,1.0,1.0,1.0,16.1,39.6,24.4,47.0,4.3,3.9,100.0,35.9,166.0,118.0,LAL,109,1,0,240.0,240.0,44.0,93.0,0.473,14.0,40.0,0.35,14.0,19.0,0.737,11.0,29.0,40.0,22.0,10.0,3.0,16.0,29.0,116.0,,0.572,0.548,0.43,0.204,22.9,78.4,47.1,50.0,9.7,5.8,13.6,100.0,112.1,105.3,,,13.0,26.0,0.8,5.0,8.0,0.667,5.0,5.0,1.0,4.0,6.0,6.0,6.0,2.0,1.0,5.0,5.0,33.0,17.0,0.874,0.861,0.8,0.8,18.1,38.7,16.9,24.2,4.7,4.5,20.9,40.2,154.0,114.0,LAC,116,0,2021,2020-12-22,False
4,240.0,240.0,45.0,90.0,0.5,16.0,44.0,0.364,8.0,15.0,0.533,8.0,24.0,32.0,29.0,10.0,4.0,15.0,17.0,114.0,,0.59,0.589,0.489,0.167,16.7,70.6,39.0,64.4,9.8,7.0,13.4,100.0,112.3,119.2,,,15.0,23.0,1.0,10.0,16.0,0.625,2.0,5.0,1.0,2.0,5.0,6.0,10.0,3.0,1.0,3.0,5.0,42.0,6.0,0.848,1.0,0.696,1.0,18.0,32.0,15.9,32.5,8.5,4.4,37.5,31.8,178.0,128.0,CHO,114,0,1,240.0,240.0,46.0,87.0,0.529,14.0,30.0,0.467,15.0,20.0,0.75,10.0,40.0,50.0,34.0,12.0,3.0,18.0,22.0,121.0,,0.632,0.609,0.345,0.23,29.4,83.3,61.0,73.9,11.8,6.5,15.8,100.0,119.2,112.3,,,9.0,18.0,0.857,4.0,8.0,1.0,6.0,9.0,1.0,5.0,11.0,14.0,8.0,3.0,2.0,5.0,4.0,27.0,14.0,0.935,0.9,1.0,0.563,21.0,40.4,30.1,29.4,10.0,6.2,33.3,100.0,150.0,122.0,CLE,121,1,2021,2020-12-23,False
5,240.0,240.0,46.0,87.0,0.529,14.0,30.0,0.467,15.0,20.0,0.75,10.0,40.0,50.0,34.0,12.0,3.0,18.0,22.0,121.0,,0.632,0.609,0.345,0.23,29.4,83.3,61.0,73.9,11.8,6.5,15.8,100.0,119.2,112.3,,,9.0,18.0,0.857,4.0,8.0,1.0,6.0,9.0,1.0,5.0,11.0,14.0,8.0,3.0,2.0,5.0,4.0,27.0,14.0,0.935,0.9,1.0,0.563,21.0,40.4,30.1,29.4,10.0,6.2,33.3,100.0,150.0,122.0,CLE,121,1,0,240.0,240.0,45.0,90.0,0.5,16.0,44.0,0.364,8.0,15.0,0.533,8.0,24.0,32.0,29.0,10.0,4.0,15.0,17.0,114.0,,0.59,0.589,0.489,0.167,16.7,70.6,39.0,64.4,9.8,7.0,13.4,100.0,112.3,119.2,,,15.0,23.0,1.0,10.0,16.0,0.625,2.0,5.0,1.0,2.0,5.0,6.0,10.0,3.0,1.0,3.0,5.0,42.0,6.0,0.848,1.0,0.696,1.0,18.0,32.0,15.9,32.5,8.5,4.4,37.5,31.8,178.0,128.0,CHO,114,0,2021,2020-12-23,True
6,240.0,240.0,39.0,85.0,0.459,12.0,28.0,0.429,17.0,23.0,0.739,5.0,35.0,40.0,25.0,8.0,8.0,16.0,27.0,107.0,,0.562,0.529,0.329,0.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100.0,101.0,114.2,,,11.0,15.0,0.733,3.0,8.0,1.0,8.0,9.0,1.0,2.0,8.0,9.0,9.0,2.0,3.0,5.0,5.0,26.0,5.0,0.819,0.833,0.8,1.0,11.4,24.8,17.1,41.3,9.5,11.3,50.0,26.5,150.0,123.0,NYK,107,0,1,240.0,240.0,46.0,94.0,0.489,8.0,34.0,0.235,21.0,29.0,0.724,10.0,40.0,50.0,28.0,6.0,9.0,13.0,24.0,121.0,,0.567,0.532,0.362,0.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100.0,114.2,101.0,,,11.0,18.0,0.667,2.0,6.0,0.5,8.0,12.0,1.0,4.0,9.0,13.0,8.0,2.0,8.0,4.0,5.0,32.0,20.0,0.718,0.714,0.833,0.667,11.6,26.1,18.8,31.5,2.6,23.4,20.5,29.7,137.0,108.0,IND,121,1,2021,2020-12-23,False
7,240.0,240.0,46.0,94.0,0.489,8.0,34.0,0.235,21.0,29.0,0.724,10.0,40.0,50.0,28.0,6.0,9.0,13.0,24.0,121.0,,0.567,0.532,0.362,0.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100.0,114.2,101.0,,,11.0,18.0,0.667,2.0,6.0,0.5,8.0,12.0,1.0,4.0,9.0,13.0,8.0,2.0,8.0,4.0,5.0,32.0,20.0,0.718,0.714,0.833,0.667,11.6,26.1,18.8,31.5,2.6,23.4,20.5,29.7,137.0,108.0,IND,121,1,0,240.0,240.0,39.0,85.0,0.459,12.0,28.0,0.429,17.0,23.0,0.739,5.0,35.0,40.0,25.0,8.0,8.0,16.0,27.0,107.0,,0.562,0.529,0.329,0.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100.0,101.0,114.2,,,11.0,15.0,0.733,3.0,8.0,1.0,8.0,9.0,1.0,2.0,8.0,9.0,9.0,2.0,3.0,5.0,5.0,26.0,5.0,0.819,0.833,0.8,1.0,11.4,24.8,17.1,41.3,9.5,11.3,50.0,26.5,150.0,123.0,NYK,107,0,2021,2020-12-23,True
8,240.0,240.0,42.0,83.0,0.506,7.0,20.0,0.35,16.0,19.0,0.842,7.0,36.0,43.0,25.0,11.0,2.0,22.0,21.0,107.0,,0.586,0.548,0.241,0.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100.0,102.0,107.7,,,11.0,16.0,0.75,3.0,6.0,0.5,5.0,5.0,1.0,3.0,8.0,11.0,7.0,7.0,1.0,7.0,4.0,25.0,7.0,0.751,0.75,0.75,1.0,15.4,25.4,18.1,47.6,9.0,4.8,60.0,30.2,142.0,115.0,MIA,107,0,1,240.0,240.0,42.0,88.0,0.477,10.0,28.0,0.357,19.0,30.0,0.633,11.0,30.0,41.0,23.0,15.0,3.0,17.0,19.0,113.0,,0.558,0.534,0.318,0.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100.0,107.7,102.0,,,9.0,15.0,0.727,3.0,6.0,0.6,4.0,8.0,1.0,3.0,9.0,11.0,6.0,4.0,1.0,4.0,4.0,25.0,17.0,0.822,0.808,0.429,0.667,17.3,34.8,18.7,43.5,7.0,4.3,37.5,28.6,147.0,109.0,ORL,113,1,2021,2020-12-23,False
9,240.0,240.0,42.0,88.0,0.477,10.0,28.0,0.357,19.0,30.0,0.633,11.0,30.0,41.0,23.0,15.0,3.0,17.0,19.0,113.0,,0.558,0.534,0.318,0.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100.0,107.7,102.0,,,9.0,15.0,0.727,3.0,6.0,0.6,4.0,8.0,1.0,3.0,9.0,11.0,6.0,4.0,1.0,4.0,4.0,25.0,17.0,0.822,0.808,0.429,0.667,17.3,34.8,18.7,43.5,7.0,4.3,37.5,28.6,147.0,109.0,ORL,113,1,0,240.0,240.0,42.0,83.0,0.506,7.0,20.0,0.35,16.0,19.0,0.842,7.0,36.0,43.0,25.0,11.0,2.0,22.0,21.0,107.0,,0.586,0.548,0.241,0.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100.0,102.0,107.7,,,11.0,16.0,0.75,3.0,6.0,0.5,5.0,5.0,1.0,3.0,8.0,11.0,7.0,7.0,1.0,7.0,4.0,25.0,7.0,0.751,0.75,0.75,1.0,15.4,25.4,18.1,47.6,9.0,4.8,60.0,30.2,142.0,115.0,MIA,107,0,2021,2020-12-23,True
